Name,Team,PA,HR,FB%,HardHit%,EV,Barrel%,SwStr%
Aaron Judge,NYY,644,51,0.457,0.6,95.8,0.256,0.122
Bobby Witt Jr.,KCR,647,30,0.442,0.489,93.0,0.14300000000000002,0.1
Juan Soto,NYY,650,39,0.35700000000000004,0.562,94.1,0.2,0.075
Francisco Lindor,NYM,665,31,0.43700000000000006,0.474,90.9,0.136,0.10300000000000001
Gunnar Henderson,BAL,658,36,0.327,0.535,92.7,0.11800000000000001,0.095
Shohei Ohtani,LAD,656,47,0.41200000000000003,0.589,95.6,0.20199999999999999,0.125
Jarren Duran,BOS,663,21,0.344,0.441,90.6,0.095,0.10400000000000001
Elly De La Cruz,CIN,631,23,0.33899999999999997,0.45899999999999996,92.0,0.126,0.134
Ketel Marte,ARI,517,31,0.332,0.536,93.7,0.11199999999999999,0.09699999999999999
Jose Ramirez,CLE,621,34,0.49200000000000005,0.39399999999999996,89.1,0.081,0.067
Matt Chapman,SFG,602,24,0.45399999999999996,0.479,93.3,0.126,0.092
Yordan Alvarez,HOU,587,32,0.474,0.48700000000000004,92.8,0.14300000000000002,0.09
Bryce Harper,PHI,569,26,0.39399999999999996,0.47100000000000003,91.1,0.09699999999999999,0.13
Brent Rooker,OAK,544,35,0.452,0.512,92.3,0.16699999999999998,0.155
Vladimir Guerrero Jr.,TOR,630,28,0.32299999999999995,0.562,94.2,0.13699999999999998,0.099
William Contreras,MIL,622,21,0.292,0.495,92.8,0.1,0.121
Cal Raleigh,SEA,557,30,0.527,0.491,91.3,0.158,0.142
Corey Seager,TEX,533,30,0.423,0.496,92.1,0.152,0.114
Willy Adames,MIL,622,30,0.494,0.396,88.5,0.12,0.127
Marcell Ozuna,ATL,620,37,0.384,0.534,92.3,0.156,0.13699999999999998
Jackson Merrill,SDP,538,23,0.413,0.435,90.2,0.113,0.107
Rafael Devers,BOS,568,28,0.369,0.52,93.2,0.129,0.14
Jose Altuve,HOU,625,19,0.33799999999999997,0.307,86.3,0.067,0.105
Jurickson Profar,SDP,607,22,0.373,0.442,91.2,0.07200000000000001,0.07
Alec Bohm,PHI,557,13,0.332,0.45799999999999996,90.5,0.069,0.073
Brenton Doyle,COL,560,22,0.392,0.418,89.2,0.109,0.141
Freddie Freeman,LAD,582,21,0.38799999999999996,0.41700000000000004,89.7,0.099,0.091
Riley Greene,DET,517,21,0.34700000000000003,0.46299999999999997,91.3,0.133,0.106
Eugenio Suarez,ARI,574,28,0.439,0.425,89.2,0.109,0.126
Steven Kwan,CLE,528,13,0.395,0.233,86.2,0.024,0.028999999999999998
Trea Turner,PHI,471,18,0.363,0.42,89.6,0.07,0.121
Ian Happ,CHC,590,23,0.414,0.452,90.9,0.121,0.11699999999999999
Colton Cowser,BAL,507,20,0.386,0.45,90.3,0.134,0.127
Alex Bregman,HOU,572,22,0.455,0.41,89.3,0.064,0.051
Kyle Schwarber,PHI,621,35,0.406,0.561,94.1,0.152,0.11599999999999999
Jazz Chisholm Jr.,- - -,563,22,0.348,0.39799999999999996,89.6,0.099,0.125
Corbin Carroll,ARI,614,19,0.384,0.389,89.2,0.068,0.076
Marcus Semien,TEX,645,20,0.424,0.342,87.2,0.059000000000000004,0.09300000000000001
Oneil Cruz,PIT,545,19,0.336,0.55,95.5,0.162,0.152
Zach Neto,LAA,548,21,0.387,0.385,88.5,0.08800000000000001,0.124
Dansby Swanson,CHC,529,14,0.32899999999999996,0.42200000000000004,89.2,0.09,0.132
Anthony Volpe,NYY,633,11,0.27699999999999997,0.354,87.8,0.038,0.10099999999999999
Anthony Santander,BAL,605,41,0.564,0.42200000000000004,89.8,0.122,0.085
Salvador Perez,KCR,591,26,0.442,0.44,91.1,0.129,0.14800000000000002
Jackson Chourio,MIL,501,19,0.307,0.44799999999999995,89.8,0.075,0.11599999999999999
Josh H. Smith,TEX,525,12,0.365,0.359,87.5,0.033,0.09
Daulton Varsho,TOR,513,18,0.529,0.33299999999999996,86.1,0.062,0.114
Manny Machado,SDP,582,26,0.365,0.49,92.4,0.10400000000000001,0.107
Ezequiel Tovar,COL,623,22,0.456,0.40700000000000003,89.0,0.083,0.191
Christian Walker,ARI,486,25,0.48700000000000004,0.47700000000000004,91.1,0.146,0.11599999999999999
Masyn Winn,STL,567,12,0.364,0.316,86.6,0.03,0.079
Nico Hoerner,CHC,580,5,0.313,0.28300000000000003,85.6,0.013000000000000001,0.053
Seiya Suzuki,CHC,526,20,0.48,0.486,91.6,0.11800000000000001,0.09
Teoscar Hernandez,LAD,586,28,0.359,0.46399999999999997,90.7,0.142,0.159
J.J. Bleday,OAK,582,20,0.483,0.36200000000000004,88.6,0.085,0.10300000000000001
Isaac Paredes,- - -,585,19,0.47100000000000003,0.268,85.0,0.05,0.07200000000000001
Adley Rutschman,BAL,581,18,0.433,0.36200000000000004,88.0,0.065,0.07
Willi Castro,MIN,573,11,0.364,0.361,87.5,0.071,0.141
Tyler Stephenson,CIN,457,18,0.34,0.426,90.1,0.09300000000000001,0.086
Yainer Diaz,HOU,553,16,0.26899999999999996,0.457,89.8,0.075,0.122
Luis Garcia,WSN,478,15,0.325,0.40399999999999997,88.8,0.078,0.094
Nolan Arenado,STL,576,16,0.391,0.301,86.2,0.033,0.07400000000000001
Jacob Young,WSN,471,3,0.245,0.272,85.1,0.015,0.07200000000000001
Carlos Santana,MIN,530,21,0.434,0.389,89.2,0.07400000000000001,0.091
Andres Gimenez,CLE,578,8,0.3,0.28600000000000003,86.5,0.028999999999999998,0.114
Ha-seong Kim,SDP,470,11,0.426,0.354,87.9,0.048,0.053
Will Smith,LAD,497,18,0.48700000000000004,0.409,89.4,0.102,0.085
Brandon Nimmo,NYM,598,18,0.381,0.465,91.5,0.086,0.094
Julio Rodriguez,SEA,535,14,0.35200000000000004,0.444,90.6,0.092,0.151
Austin Riley,ATL,469,19,0.43,0.534,93.3,0.149,0.129
Brendan Donovan,STL,582,11,0.374,0.36700000000000005,88.5,0.048,0.06
Jeremy Pena,HOU,589,15,0.33,0.381,88.1,0.059000000000000004,0.121
Taylor Ward,LAA,592,23,0.445,0.435,91.1,0.136,0.10099999999999999
Matt Vierling,DET,513,16,0.381,0.41200000000000003,90.0,0.077,0.073
Josh Naylor,CLE,573,29,0.37200000000000005,0.41200000000000003,90.0,0.086,0.107
Michael Busch,CHC,516,17,0.379,0.384,89.6,0.107,0.11599999999999999
Nathaniel Lowe,TEX,499,12,0.295,0.379,88.7,0.053,0.078
Ryan McMahon,COL,583,19,0.311,0.496,92.4,0.111,0.129
Jonathan India,CIN,576,14,0.36,0.37,87.2,0.08199999999999999,0.068
Brice Turang,MIL,552,7,0.265,0.308,87.7,0.027000000000000003,0.053
Bryan Reynolds,PIT,627,22,0.321,0.45299999999999996,89.9,0.091,0.136
Heliot Ramos,SFG,455,20,0.369,0.47,91.2,0.151,0.139
Cody Bellinger,CHC,509,17,0.452,0.314,87.6,0.057,0.1
Jake Cronenworth,SDP,598,16,0.376,0.375,88.9,0.08199999999999999,0.068
Lourdes Gurriel Jr.,ARI,522,17,0.408,0.40299999999999997,88.5,0.069,0.095
Pete Alonso,NYM,627,31,0.42100000000000004,0.44799999999999995,89.5,0.12300000000000001,0.096
Bryson Stott,PHI,523,11,0.377,0.31,87.1,0.039,0.062
Paul DeJong,- - -,465,24,0.45399999999999996,0.415,87.9,0.106,0.19
Colt Keith,DET,508,12,0.332,0.353,87.6,0.053,0.102
Jake Meyers,HOU,463,12,0.392,0.382,88.8,0.073,0.128
Yandy Diaz,TBR,577,14,0.27399999999999997,0.498,92.4,0.077,0.053
CJ Abrams,WSN,582,20,0.42100000000000004,0.39799999999999996,88.0,0.067,0.12300000000000001
Randy Arozarena,- - -,580,19,0.418,0.42,90.1,0.08,0.11199999999999999
Wyatt Langford,TEX,487,10,0.419,0.44,89.7,0.085,0.086
Jesse Winker,- - -,484,14,0.315,0.371,88.7,0.077,0.08199999999999999
Matt Olson,ATL,616,25,0.41600000000000004,0.47,91.4,0.122,0.11900000000000001
Spencer Steer,CIN,600,19,0.431,0.396,87.8,0.062,0.09
Shea Langeliers,OAK,478,25,0.447,0.424,91.1,0.129,0.132
Logan O'Hoppe,LAA,475,19,0.368,0.465,90.3,0.11800000000000001,0.159
Vinnie Pasquantino,KCR,554,19,0.429,0.45799999999999996,91.0,0.071,0.059000000000000004
Ryan Mountcastle,BAL,485,13,0.348,0.447,90.7,0.08800000000000001,0.124
George Springer,TOR,567,19,0.325,0.377,87.9,0.09300000000000001,0.113
Sal Frelick,MIL,476,2,0.326,0.19699999999999998,83.2,0.008,0.047
Zack Gelof,OAK,485,17,0.38,0.36200000000000004,89.1,0.09300000000000001,0.17800000000000002
Jeff McNeil,NYM,472,12,0.413,0.308,87.0,0.031,0.087
Lane Thomas,- - -,471,11,0.405,0.41100000000000003,88.9,0.069,0.086
Gleyber Torres,NYY,594,12,0.402,0.34600000000000003,88.3,0.061,0.095
Maikel Garcia,KCR,585,7,0.31,0.431,90.6,0.039,0.061
J.D. Martinez,NYM,456,16,0.426,0.449,91.0,0.146,0.147
Luis Arraez,- - -,616,4,0.311,0.22699999999999998,86.3,0.016,0.028999999999999998
Paul Goldschmidt,STL,591,21,0.37,0.494,91.7,0.1,0.12
Jesus Sanchez,MIA,475,17,0.306,0.516,92.9,0.12300000000000001,0.15
Ceddanne Rafaela,BOS,528,15,0.374,0.369,86.8,0.076,0.182
Andrew McCutchen,PIT,470,20,0.41700000000000004,0.379,88.6,0.131,0.111
Jake Burger,MIA,509,25,0.40399999999999997,0.475,91.7,0.124,0.14800000000000002
Alec Burleson,STL,534,21,0.381,0.40700000000000003,89.6,0.07,0.09699999999999999
Alex Verdugo,NYY,586,12,0.33299999999999996,0.363,88.7,0.057999999999999996,0.062
Orlando Arcia,ATL,542,16,0.365,0.379,88.5,0.054000000000000006,0.114
Brendan Rodgers,COL,501,13,0.256,0.444,89.4,0.057,0.11699999999999999
Justin Turner,- - -,479,9,0.40700000000000003,0.313,86.6,0.039,0.066
Nolan Schanuel,LAA,560,13,0.309,0.261,86.2,0.036000000000000004,0.055999999999999994
Leody Taveras,TEX,475,9,0.406,0.361,89.2,0.053,0.11599999999999999
Jorge Soler,- - -,515,17,0.45399999999999996,0.425,90.2,0.11,0.121
Nick Castellanos,PHI,602,20,0.38299999999999995,0.379,88.3,0.077,0.161
Andrew Vaughn,CHW,559,17,0.46,0.43,90.5,0.098,0.099
Josh Bell,- - -,587,18,0.33399999999999996,0.39899999999999997,88.9,0.07200000000000001,0.113
Jeimer Candelario,CIN,463,20,0.402,0.342,86.9,0.08199999999999999,0.136
Ty France,- - -,478,12,0.354,0.391,88.7,0.08,0.10300000000000001
Rhys Hoskins,MIL,464,23,0.498,0.41600000000000004,88.4,0.122,0.098
Adolis Garcia,TEX,579,22,0.435,0.48,91.2,0.128,0.168
Christopher Morel,- - -,567,21,0.405,0.402,89.4,0.10800000000000001,0.145
Gavin Sheets,CHW,469,8,0.39899999999999997,0.355,87.8,0.053,0.09699999999999999
Andrew Benintendi,CHW,469,16,0.42700000000000005,0.34,87.9,0.061,0.086
Bryan De La Cruz,- - -,578,19,0.37200000000000005,0.415,89.5,0.094,0.14300000000000002
